Temp [deg C],X_accel [g],Y_accel [g],Z_accel [g]
21.795580,0.026182,0.032965,1.040915
21.906077,0.036100,0.051642,1.044867
21.795580,0.030153,0.043890,1.041086
21.906077,0.030229,0.053827,1.042815
21.795580,0.035625,0.050331,1.047280
21.685083,0.038019,0.047614,1.044563
21.795580,0.035397,0.053143,1.041105
21.906077,0.036822,0.049267,1.045836
21.906077,0.028576,0.054777,1.046216
21.795580,0.030039,0.055366,1.043594
21.795580,0.039292,0.049229,1.043138
21.795580,0.035568,0.048089,1.041960
21.574586,0.033098,0.046797,1.044962
22.016575,0.035967,0.045942,1.043043
21.795580,0.047215,0.019969,1.045836
21.795580,0.043206,0.053029,1.039528
21.906077,0.034599,0.052934,1.044392
21.795580,0.039330,0.054625,1.048781
21.906077,0.041382,0.045885,1.042891
21.795580,0.103740,0.119529,1.048230
21.574586,0.026676,0.032186,1.040668
21.906077,0.032642,0.044137,1.042891
21.795580,0.025118,0.047937,1.043290
21.795580,0.033573,0.052326,1.042188
21.906077,0.033174,0.051319,1.043100
21.574586,0.037145,0.045961,1.043727
21.685083,0.036898,0.055803,1.043214
22.016575,0.033459,0.050027,1.042777
21.906077,0.036518,0.053181,1.042720
21.795580,0.035853,0.052934,1.044848
21.685083,0.035321,0.069027,1.040459
21.795580,0.033858,0.047804,1.045513
21.574586,0.031521,0.046892,1.041922
21.795580,0.046797,0.104766,1.035500
21.906077,0.033003,0.050217,1.041960
21.574586,0.037544,0.048184,1.045304
21.574586,0.028101,0.071782,1.039490
21.906077,0.021527,0.088882,1.062974
21.795580,0.134254,0.100149,1.078288
21.906077,0.247209,0.141873,1.038768
21.906077,0.112974,0.277514,0.871644
21.795580,0.478629,0.402762,0.729258
21.574586,0.386479,0.409925,0.498807
21.795580,0.795245,0.507699,0.163894
21.795580,0.847134,0.585694,-0.034257
21.574586,0.821845,0.559949,-0.081567
21.685083,0.775276,0.536047,-0.184851
22.016575,0.656811,0.481156,-0.297293
21.795580,0.806227,0.500745,-0.542925
21.795580,0.670092,0.412015,-0.575149
21.795580,0.559816,0.401451,-0.696768
21.795580,0.429609,0.303696,-0.703665
21.795580,0.384579,0.312436,-0.804536
21.795580,0.232389,0.251503,-0.837900
21.464088,0.094487,0.209038,-0.851656
21.795580,0.147972,0.153634,-0.943540
21.795580,0.084227,0.144248,-0.877116
21.795580,0.044764,0.109630,-0.900220
21.795580,-0.014535,0.063213,-0.855950
21.685083,0.018354,0.101099,-0.870162
21.795580,0.029754,0.018620,-0.861555
21.795580,0.025308,0.041572,-0.887091
21.906077,0.029583,0.029621,-0.874285
21.685083,0.026961,0.034390,-0.863018
21.574586,0.027664,0.020349,-0.893418
21.574586,0.023579,0.032357,-0.866989
22.016575,0.021166,0.015295,-0.928948
21.906077,0.025707,0.022610,-0.889314
21.685083,0.025821,0.016188,-0.879168
21.795580,0.030058,0.027379,-0.884659
21.906077,0.143298,-0.030495,-0.637222
21.795580,0.021907,0.043643,-0.873297
21.795580,0.016929,0.048545,-0.880726
21.795580,0.022458,0.045581,-0.881676
21.906077,0.029203,0.033725,-0.889333
21.906077,0.029070,0.031141,-0.886616
21.685083,0.026277,0.025840,-0.879282
21.795580,0.028006,0.026619,-0.883823
21.685083,0.020425,0.065702,-0.875672
21.795580,0.026220,0.028614,-0.882170
21.574586,0.026087,0.028576,-0.883595
21.906077,0.026334,0.028044,-0.883291
21.906077,0.028956,0.028728,-0.882056
21.906077,0.025897,0.031293,-0.883405
21.685083,0.029982,0.034352,-0.887110
21.795580,0.024719,0.031692,-0.886711
21.906077,0.026923,0.028500,-0.882094
21.574586,0.023598,0.027417,-0.884488
21.906077,0.025859,0.030799,-0.883652
21.795580,0.023294,0.029431,-0.880270
21.685083,0.025441,0.028044,-0.884887
21.574586,0.055423,0.058292,-1.007076
21.685083,0.027740,0.038019,-0.883747
21.795580,0.023978,0.038247,-0.885210
21.795580,0.027550,0.032813,-0.884507
21.906077,0.030875,0.043282,-0.882284
21.795580,0.026144,0.047253,-0.881277
21.685083,0.023541,0.044080,-0.884583
21.795580,0.029089,0.044308,-0.885609
21.906077,0.029108,0.049533,-0.881866
21.574586,0.025612,0.042275,-0.888497
21.685083,0.024529,0.045771,-0.882968
21.906077,0.022838,0.047557,-0.885438
21.574586,0.023883,0.041078,-0.884659
21.795580,0.026296,0.044764,-0.883462
21.795580,0.020634,0.051851,-0.888687
21.795580,0.031312,0.046227,-0.881638
21.685083,0.025973,0.043434,-0.885571
21.906077,0.024776,0.050160,-0.881790
21.795580,0.023617,0.048469,-0.883006
21.795580,0.029298,-0.017423,-0.847134
21.906077,0.024225,0.049457,-0.883348
21.906077,0.017556,0.054511,-0.881771
21.574586,0.024738,0.052820,-0.878446
21.574586,0.029260,0.048735,-0.888345
21.906077,0.024282,0.052003,-0.886369
21.795580,0.024814,0.050122,-0.886293
21.795580,0.033896,0.049685,-0.887490
21.795580,0.030685,0.043662,-0.882607
21.906077,0.030951,0.049951,-0.882170
21.795580,0.023731,0.048754,-0.881847
21.685083,0.024396,0.050939,-0.884393
21.906077,0.030552,-0.015865,-0.902158
21.464088,0.029374,0.054872,-0.885666
